HuntUnit,Area_km2,Harvest,HarvestYear
Adair County,1474,"1,025",2018
Adams County,1098,925,2018
Allamakee County,1658,"3,742",2018
Appanoose County,1285,"2,300",2018
Audubon County,1147,278,2018
Benton County,1854,939,2018
Black Hawk County,1469,578,2018
Boone County,1481,971,2018
Bremer County,1109,955,2018
Buchanan County,1479,794,2018
Buena Vista County,1489,235,2018
Butler County,1502,949,2018
Calhoun County,1476,134,2018
Carroll County,1474,313,2018
Cass County,1461,672,2018
Cedar County,1502,"1,182",2018
Cerro Gordo County,1471,477,2018
Cherokee County,1494,516,2018
Chickasaw County,1308,928,2018
Clarke County,1116,"1,965",2018
Clay County,1474,469,2018
Clayton County,2018,"4,380",2018
Clinton County,1800,"1,190",2018
Crawford County,1849,443,2018
Dallas County,1518,"1,477",2018
Davis County,1303,"2,003",2018
Decatur County,1378,"1,989",2018
Delaware County,1497,"1,401",2018
Des Moines County,1077,"1,288",2018
Dickinson County,987,219,2018
Dubuque County,1575,"1,969",2018
Emmet County,1026,258,2018
Fayette County,1893,"1,861",2018
Floyd County,1298,690,2018
Franklin County,1507,414,2018
Fremont County,1323,505,2018
Greene County,1471,471,2018
Grundy County,1303,123,2018
Guthrie County,1531,"2,068",2018
Hamilton County,1494,284,2018
Hancock County,1479,228,2018
Hardin County,1474,793,2018
Harrison County,1805,"1,144",2018
Henry County,1124,"1,244",2018
Howard County,1225,793,2018
Humboldt County,1124,182,2018
Ida County,1119,162,2018
Iowa County,1518,"1,491",2018
Jackson County,1647,"2,581",2018
Jasper County,1891,894,2018
Jefferson County,1127,"1,522",2018
Johnson County,1590,"1,787",2018
Jones County,1489,"1,743",2018
Keokuk County,1500,"1,147",2018
Kossuth County,2520,352,2018
Lee County,1339,"1,683",2018
Linn County,1860,"1,894",2018
Louisa County,1041,"1,219",2018
Lucas County,1116,"2,294",2018
Lyon County,1523,293,2018
Madison County,1453,"2,843",2018
Mahaska County,1479,995,2018
Marion County,1435,"2,119",2018
Marshall County,1481,613,2018
Mills County,1132,552,2018
Mitchell County,1215,745,2018
Monona County,1795,"1,023",2018
Monroe County,1121,"2,264",2018
Montgomery County,1098,754,2018
Muscatine County,1137,"1,331",2018
O'Brien County,1484,310,2018
Osceola County,1033,123,2018
Page County,1386,655,2018
Palo Alto County,1461,298,2018
Plymouth County,2238,392,2018
Pocahontas County,1497,143,2018
Polk County,1476,"1,133",2018
Pottawattamie County,2471,"1,031",2018
Poweshiek County,1515,754,2018
Ringgold County,1393,"1,393",2018
Sac County,1492,269,2018
Scott County,1186,778,2018
Shelby County,1531,294,2018
Sioux County,1989,229,2018
Story County,1484,450,2018
Tama County,1867,"1,417",2018
Taylor County,1383,"1,520",2018
Union County,1098,"1,275",2018
Van Buren County,1256,"2,830",2018
Wapello County,1119,"1,291",2018
Warren County,1481,"2,836",2018
Washington County,1474,"1,658",2018
Wayne County,1362,"2,334",2018
Webster County,1852,801,2018
Winnebago County,1036,235,2018
Winneshiek County,1787,"2,452",2018
Woodbury County,2261,755,2018
Worth County,1036,369,2018
Wright County,1505,309,2018
